,IXT D0,IXT D10,IXT D20,IXT D30,IXT D50,IYT D0,IYT D10,IYT D20,IYT D30,IYT D50
0,,3.311420331,3.307519269,3.3178578,3.311981319,,2.93604692,2.806203427,2.992696471,2.937267426
1,,3.318641786,3.317488067,3.316756212,3.317412946,,3.100640206,3.0566957,3.139151907,3.038675229
2,,3.315800769,3.316043458,3.31683777,3.317606094,,3.16082775,3.171315685,3.19790626,3.150104953
3,,3.318164445,3.317548164,3.317537546,3.31660553,,3.16323216,3.19019341,3.155592513,3.197669144
4,,3.316874484,3.316777938,3.316198022,3.315598548,,3.199726281,3.213687496,3.173400026,3.197550619
5,,3.316614383,3.316847687,3.316768458,3.316387381,,3.254478057,3.236051707,3.244136268,3.219943028
6,,3.31652009,3.315428999,3.316089911,3.316115192,,3.276012666,3.253450568,3.215180358,3.251997508
7,,3.316992425,3.317028065,3.316905862,3.316383861,,3.300570706,3.254094498,3.284691073,3.260128873
8,,3.316786197,3.315506943,3.317155725,3.315767704,,3.308942631,3.267596318,3.228180475,3.259571687
9,,3.316672351,3.316492739,3.316245378,3.316017106,,3.308622332,3.300444932,3.267669299,3.252012081
10,,3.316476881,3.316264597,3.31659938,3.316476881,,3.300378741,3.292254049,3.29256199,3.292328722
11,,3.316852924,3.316114889,3.316635913,3.316350623,,3.316852924,3.300444932,3.284360688,3.276220802
12,,3.317616542,3.316786197,3.316826573,3.316675074,,3.289911318,3.308942631,3.308622332,3.292228693
13,,3.316875121,3.316852924,3.316909787,3.316492739,,3.286675197,3.316852924,3.308773611,3.300444932
14,,3.316852924,3.316691702,3.316672351,3.316826573,,3.316852924,3.300484642,3.308622332,3.308622332
15,,3.316852924,3.316852924,3.316852924,3.317159638,,3.316852924,3.316852924,3.316852924,3.292697052
16,,3.316852924,3.316786197,3.31699265,3.317710648,,3.316852924,3.308942631,3.308942631,3.278922559
17,,3.316852924,3.316852924,3.316852924,3.317214702,,3.316852924,3.316852924,3.316852924,3.292848331
18,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
19,,3.316879519,3.316852924,3.316852924,3.316852924,,3.308662041,3.316852924,3.316852924,3.316852924
20,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
21,,3.316852924,3.316852924,3.316879519,3.316852924,,3.316852924,3.316852924,3.308662041,3.316852924
22,,3.316852924,3.316852924,3.316826573,3.316852924,,3.316852924,3.316852924,3.308622332,3.316852924
23,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
24,,3.316852924,3.316852924,3.316786197,3.316852924,,3.316852924,3.316852924,3.308942631,3.316852924
25,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
26,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
27,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
28,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
29,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
30,,3.316852924,3.316852924,3.316826573,3.316852924,,3.316852924,3.316852924,3.308622332,3.316852924
31,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
32,,3.316852924,3.316852924,3.31663175,3.316852924,,3.316852924,3.316852924,3.308788184,3.316852924
33,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
34,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
35,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
36,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
37,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
38,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
39,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
40,,3.316852924,3.316852924,3.317128561,3.316852924,,3.316852924,3.316852924,3.308992385,3.316852924
41,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
42,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
43,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
44,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
45,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
46,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
47,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
48,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
49,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
50,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
51,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
52,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
53,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
54,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
55,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
56,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
57,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
58,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
59,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
60,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
61,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
62,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
63,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
64,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
65,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
66,,3.316991088,3.316852924,3.316852924,3.316852924,,3.308773611,3.316852924,3.316852924,3.316852924
67,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
68,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
