,I_XT
0,"[3.30738383 3.31393934 3.31705815 3.31526617 3.31737567 3.3168011
 3.3167122  3.3168789  3.31695964 3.31659201 3.31676219 3.31685195
 3.31664773 3.31678412 3.31674346 3.31667399 3.3168905  3.31643449
 3.31701282 3.31692877 3.31688626 3.31680469 3.31685292 3.31684229
 3.31688697 3.31671905 3.31689376 3.31684229 3.31686553 3.31685292
 3.31685292 3.31686878 3.31685292 3.31684765 3.31685292 3.31685292
 3.31684765 3.31689686 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31688347 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31684765 3.31688087 3.31681876 3.31690805
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292]"
1,"[3.3125649  3.31577148 3.31561006 3.31621768 3.31652596 3.31536619
 3.31676249 3.31694082 3.31674457 3.31684118 3.31684765 3.31685292
 3.31684229 3.31685292 3.31685292 3.31703654 3.31685292 3.31685292
 3.31685292 3.3169897  3.31685292 3.31685292 3.31685292 3.31685292
 3.31685173 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292]"
2,"[3.30858389 3.31533335 3.31624927 3.31669497 3.31638075 3.31692733
 3.31653299 3.31681887 3.31685292 3.31696649 3.31685964 3.31685292
 3.31685292 3.31685292 3.3168213  3.31683586 3.31688087 3.31685292
 3.31683711 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292]"
3,"[3.31024359 3.31537487 3.31633177 3.31400418 3.31658046 3.31693788
 3.31694047 3.31689759 3.31673878 3.31682348 3.31680621 3.31685292
 3.31686721 3.31614725 3.31685292 3.31685919 3.31686376 3.31685292
 3.31685824 3.31685292 3.31685292 3.31685292 3.31681933 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31687873 3.31685292 3.31685292 3.31681681
 3.31685292 3.31685292 3.31685292 3.31684491 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292]"
4,"[3.29985888 3.31546359 3.31699051 3.31703363 3.31646084 3.31645153
 3.31703798 3.31666667 3.31690362 3.31702643 3.31681188 3.31689826
 3.31685292 3.31685292 3.31679163 3.31685292 3.31685292 3.3167671
 3.31685292 3.31685292 3.31685292 3.31662372 3.31682519 3.31685292
 3.31696112 3.31684765 3.31694273 3.31685292 3.31703517 3.31686721
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31684765 3.31678616 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292]"
5,"[3.31213903 3.31710083 3.31318573 3.31544385 3.31681434 3.31680723
 3.31667348 3.31633889 3.31668067 3.31694889 3.31645931 3.31680504
 3.31656262 3.31678346 3.31685292 3.31684229 3.31684229 3.31685292
 3.31685292 3.31693817 3.31685292 3.31685292 3.31684765 3.31685292
 3.31685292 3.31691624 3.31685292 3.31677552 3.31685292 3.31681284
 3.31685292 3.31679163 3.31684765 3.31685824 3.31685292 3.31682603
 3.3168277  3.31685292 3.31688087 3.31684765 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31678629 3.31685292
 3.31685292 3.31685292 3.31715238 3.31662284 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292 3.31685292
 3.31685292 3.31685292 3.31685292 3.31685292]"
