Epoch,IXT 3x3,IXT 5x5,IXT 7x7,IYT 3x3,IYT 5x5,IYT 7x7
0,3.309279882,3.314148695,3.311115687,2.939250875,2.948475969,2.873925847
1,3.315268338,3.316556681,3.315420149,3.053262831,3.075866216,3.114892271
2,3.316979392,3.316193914,3.317097736,3.214004616,3.161868734,3.205942424
3,3.315999641,3.31765223,3.316880442,3.205850982,3.209339465,3.162773138
4,3.315973473,3.316711841,3.316839634,3.248054738,3.286245036,3.268129206
5,3.316306877,3.316880748,3.317362721,3.268274392,3.268257341,3.284545879
6,3.316760347,3.31737693,3.316791365,3.286117339,3.295155589,3.294314001
7,3.31790756,3.316909787,3.316852924,3.276362313,3.308773611,3.308635447
8,3.316852924,3.316852924,3.316293519,3.300472283,3.316852924,3.300623562
9,3.316852924,3.316852924,3.316852924,3.308662041,3.316852924,3.316852924
10,3.316852924,3.317057126,3.316866283,3.316852924,3.308992385,3.308662041
11,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
12,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
13,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
14,3.316852924,3.316773865,3.316826573,3.316852924,3.302378741,3.302404854
15,3.316852924,3.316879519,3.316852924,3.316852924,3.308662041,3.316852924
16,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
17,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
18,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
19,3.316852924,3.316852924,3.316852924,3.30311507,3.316852924,3.316852924
20,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
21,3.316852924,3.316852924,3.316519091,3.316852924,3.316852924,3.308675525
22,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
23,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
24,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
25,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
26,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
27,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
28,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
29,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
30,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
31,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
32,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
33,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
34,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
35,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
36,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
37,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
38,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
39,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
40,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
41,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
42,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
43,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
44,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
45,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924,3.316852924
