,I_YT
0,"[2.52347696 2.59519423 2.63153691 2.73201234 2.76674917 2.7912696
 2.83316815 2.83265868 2.8251571  2.87281149 2.85558078 2.86068431
 2.93958419 2.9091333  2.91519561 2.97539473 2.91881395 2.96755083
 2.96232625 3.03646277 3.01282078 3.02477469 3.03606862 3.0171764
 3.07273639 3.09515051 3.03963468 3.11142735 3.13264424 3.15108285
 3.10939129 3.13431003 3.16215061 3.13283035 3.19281911 3.22227837
 3.22297035 3.22913166 3.24206104 3.18319143 3.20378081 3.23773786
 3.26753781 3.26729485 3.23754566 3.28669315 3.28366997 3.30142801
 3.30082283 3.2820368  3.2824024  3.31286224 3.26334321 3.29708747
 3.30891529 3.27396659 3.29539005 3.31684144 3.30486128 3.27455208
 3.31684144 3.31684144 3.28568367 3.31684144 3.30283045 3.31684144
 3.30974055 3.31289449 3.31684144 3.31684144 3.31684144 3.29257172
 3.2465641  3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.28566799 3.294371   3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.30230615 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.28901886]"
1,"[2.56189023 2.63077532 2.70543398 2.70339247 2.78417125 2.81955065
 2.87352548 2.93140273 2.87605078 2.91671319 2.93981994 3.03044757
 3.01746682 3.07418449 3.12342729 3.14538186 3.16591508 3.20109956
 3.26427443 3.24579494 3.26802886 3.26806371 3.21711155 3.28534926
 3.28862191 3.30886745 3.30863399 3.30197311 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.30993934 3.31684144 3.31684144 3.27396171 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.25520515 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.27591308 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144]"
2,"[2.46788314 2.61686949 2.64944864 2.7323855  2.80716306 2.85697873
 2.92686952 2.97257652 3.0606472  3.10778992 3.15098308 3.17631908
 3.22873063 3.2767881  3.24509965 3.25999905 3.27009009 3.30154242
 3.27123654 3.31684144 3.31283897 3.31684144 3.31684144 3.30861991
 3.31684144 3.31684144 3.27826448 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31277335 3.31283897 3.2991462  3.31684144
 3.31684144 3.31684144 3.31684144 3.30181793 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31286224 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.28805946 3.31684144
 3.31684144 3.30567947 3.31684144 3.31684144 3.31282386 3.31283897
 3.30567947 3.25389618 3.25398456 3.29890924 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144]"
3,"[2.50052544 2.5931035  2.70064607 2.76471053 2.8754893  2.91833235
 2.96564473 3.09034856 3.12320263 3.14413563 3.2092887  3.15800496
 3.23274196 3.29128291 3.26164123 3.28680193 3.30040307 3.30592826
 3.29011687 3.31289449 3.27976291 3.31684144 3.31684144 3.31684144
 3.28496478 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.30001311 3.31684144 3.31684144 3.27602054 3.31684144
 3.31684144 3.31684144 3.31684144 3.31278742 3.31278742 3.31684144
 3.31684144 3.31684144 3.31684144 3.31279457 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.26469284 3.31684144 3.31684144
 3.31684144 3.31684144 3.26886003 3.31684144 3.312688   3.31684144
 3.31277335 3.31684144 3.28396288 3.31286224 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.3127132  3.31684144 3.31684144 3.30982891 3.31684144
 3.31684144 3.29083622 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144]"
4,"[2.3176198  2.63388135 2.7166912  2.77325657 2.90799572 2.9690112
 2.96182732 3.11169501 3.17348347 3.20586696 3.23837467 3.21815091
 3.19775686 3.28561394 3.28812067 3.2742964  3.31684144 3.29606616
 3.31684144 3.31684144 3.2874919  3.31684144 3.31283897 3.30054242
 3.31684144 3.29255365 3.312688   3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.29876532 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144]"
5,"[2.47182979 2.54177403 2.68099679 2.78547293 2.91556421 2.97658111
 2.99526075 3.12833978 3.13362837 3.18390143 3.23805338 3.270922
 3.2060392  3.23980912 3.30474523 3.2897531  3.31286224 3.23978153
 3.31684144 3.25507697 3.31684144 3.31286224 3.23618241 3.25319957
 3.31684144 3.31279457 3.25047656 3.31684144 3.31684144 3.31684144
 3.2635509  3.312688   3.30974055 3.26620688 3.31283897 3.29911118
 3.31684144 3.31684144 3.31684144 3.31277335 3.30969832 3.31684144
 3.29517058 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.26366546 3.31684144 3.31684144
 3.31684144 3.31684144 3.31278742 3.31684144 3.31684144 3.31684144
 3.29865514 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31286224 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144 3.31684144
 3.31684144 3.31684144 3.31684144 3.31684144 3.27757927 3.31684144
 3.31684144 3.31684144 3.31684144 3.31277335 3.31684144 3.2849679
 3.3032001  3.31684144 3.31277335 3.31684144]"
