1 Conv. Training,2 Conv. Training,3 Conv. Training,4 Conv. Training,5 Conv. Training,6 Conv. Training,1 Conv. Validation,2 Conv. Validation,3 Conv. Validation,4 Conv. Validation,5 Conv. Validation,6 Conv. Validation
0.091558553,0.037142064,0.027680485,0.021989442,0.039969083,0.029527785,0.291588932,0.316968948,0.423474908,0.409988493,0.438312024,0.527108312
0.085601918,0.030467017,0.027591575,0.019449776,0.018326601,0.036884319,0.327445149,0.368826002,0.396412581,0.431263506,0.520438254,0.533071995
0.081697345,0.030794857,0.021726327,0.017357977,0.037192792,0.022390526,0.26497373,0.329238415,0.395597965,0.484977514,0.486927062,0.572968483
0.075908199,0.026192879,0.018726615,0.018164499,0.019217823,0.032803357,0.250972241,0.352148265,0.404002935,0.483082354,0.623703182,0.558453619
0.069839016,0.025810288,0.020323794,0.0126252,0.036834762,0.033281088,0.281135976,0.330123514,0.378974974,0.565150321,0.500482202,0.484516919
0.065220214,0.020363184,0.01484012,0.023868309,0.008770536,0.015544214,0.300606817,0.356024981,0.425791234,0.433645129,0.659703672,0.57669872
0.062780797,0.021375781,0.018073015,0.00933092,0.031678788,0.029016605,0.283513099,0.364617705,0.418286055,0.55007422,0.515194178,0.717242718
0.057148971,0.017163394,0.00761253,0.016539518,0.01581369,0.013673408,0.290297955,0.367385477,0.829094291,0.566114843,0.562000096,0.614610016
0.052906252,0.016347403,0.020483563,0.01724609,0.026228713,0.02094895,0.286014348,0.529478371,0.428814769,0.624795318,0.459382921,0.588946164
0.048661895,0.016370079,0.015414625,0.017911516,0.014229821,0.014672823,0.289788991,0.423290789,0.515622318,0.505320489,0.550154567,0.7100963
0.049008153,0.010867808,0.009164145,0.019619009,0.013384625,0.037945975,0.284616679,0.405910254,0.435071737,0.522849202,0.740296245,0.476041734
0.04163231,0.013462282,0.011401948,0.014065575,0.021041866,0.015090303,0.364479363,0.403736085,0.484861642,0.528990149,0.555719733,0.59050709
0.042368487,0.011058419,0.011446754,0.010172061,0.016214987,0.01442642,0.351355523,0.481812418,0.474008799,0.593366623,0.556713879,0.639624774
0.037994813,0.009948106,0.01061394,0.020090319,0.018213326,0.008497351,0.350050002,0.500196099,0.491959393,0.553218007,0.557239234,0.745048881
0.036501471,0.010980669,0.011946924,0.014272689,0.017653661,0.022842867,0.302544236,0.477858484,0.491408765,0.558487236,0.583289444,0.638738334
0.036075387,0.015405016,0.016394323,0.020653246,0.022940427,0.024783779,0.309336215,0.432098985,0.46387589,0.517127395,0.563406467,0.570190847
0.031089876,0.012488841,0.013877408,0.00928829,0.009203798,0.012852106,0.320991188,0.433707893,0.47664696,0.547253013,0.581953406,0.614139676
0.033142984,0.008919557,0.009296162,0.017876664,0.020243628,0.007710812,0.315937012,0.46019426,0.572441995,0.540115833,0.56910944,1.017408013
0.027967989,0.01218133,0.001447117,0.013057842,0.019766731,0.021596581,0.325674444,0.430566967,0.573789895,0.537514687,0.537397623,0.591206193
0.026532819,0.004746639,0.021665625,0.016523791,0.013185084,0.014582139,0.314135134,0.454390734,0.511903346,0.519561231,0.560341597,0.614338577
0.024880821,0.009130156,0.013447662,0.000398769,0.016255692,0.014636565,0.32936129,0.467305541,0.490050524,0.791932344,0.558821261,0.630936742
0.023191078,0.006485207,0.000194375,0.01180153,0.00656893,0.014429899,0.344806522,0.501742125,0.67840147,0.624156594,0.646267295,0.672631741
0.023587357,0.010053777,0.008235863,0.020754967,0.0108477,0.014628173,0.333098173,0.466635525,0.589220285,0.566934347,0.620951116,0.65194881
0.022658646,0.007964823,0.020195398,0.015129321,0.011306455,0.014091016,0.340028137,0.475748956,0.538845718,0.52421838,0.517730594,0.642600596
0.017530126,0.006075344,0.01420525,0.003222696,0.015202652,0.017869411,0.361599177,0.49164471,0.507470191,0.903583825,0.587819695,0.743825793
0.019476417,0.008772396,0.000339937,0.006673198,0.000482803,0.009295238,0.365426093,0.492763221,0.59453547,0.662730694,0.731776178,0.710773826
0.019611035,0.008258019,0.020538652,0.013828731,0.017471688,0.018635478,0.3662121,0.499953628,0.57952261,0.590833485,0.621068776,0.603984237
0.020455621,0.006866305,0.010505711,0.009887482,8.96954E-05,0.012078867,0.374766022,0.506422281,0.522230804,0.605243564,0.807566464,0.663432837
0.019581748,0.007886567,0.004472409,0.013909712,0.017018309,0.0113073,0.368922412,0.512637556,0.59647131,0.528636217,0.707360208,0.662255168
0.019450814,0.007890923,0.001537905,0.006076931,0.016437657,0.007669558,0.36150372,0.501620412,0.630614579,0.603256404,0.630286098,0.681078255
0.015519267,0.006776286,0.01196993,0.006857519,0.004058498,0.011705335,0.377202034,0.515089154,0.535097599,0.724580169,0.667994201,0.721533835
0.017586365,0.00907221,0.008169104,0.013818378,0.021508118,0.0151276,0.377910286,0.515456378,0.56296736,0.521446049,0.606955349,0.685761869
0.014834889,0.00491433,0.018786347,0.006154984,0.000313626,0.015605576,0.382390857,0.518676221,0.539606988,0.564077139,0.750127375,0.67036134
0.015332192,0.006653813,0.000143992,0.003335337,0.021956878,0.005506654,0.417160183,0.508166552,0.644550979,0.636202335,0.618200898,0.711702764
0.011215569,0.010499243,0.00989462,0.006223971,0.008405775,0.007918251,0.479241878,0.50293386,0.606430531,0.659452498,0.625389814,0.749082267
